,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;
Mar-2013,1.4
Jun-2013,3.4
Sep-2013,7.4
Dec-2013,9.3
Mar-2014,9.8
Jun-2014,9.2
Sep-2014,6.8
Dec-2014,5.0
Mar-2015,4.7
Jun-2015,7.8
Sep-2015,9.9
Dec-2015,9.6
Mar-2016,9.8
Jun-2016,8.2
Sep-2016,6.9
Dec-2016,10.8
Mar-2017,13.4
Jun-2017,13.8
Sep-2017,13.2
Dec-2017,10.2
Mar-2018,6.2
Jun-2018,2.3
Sep-2018,-1.5
Dec-2018,-6.4
Mar-2019,-9.4
Jun-2019,-9.3
Sep-2019,-3.5
Dec-2019,4.1
Mar-2020,10.4
Jun-2020,8.8
Sep-2020,4.7
Dec-2020,2.9
Mar-2021,5.9
Jun-2021,15.0
Sep-2021,19.5
Dec-2021,20.0
